codeIataAirport,codeIcaoAirport,Country/Region,Province/State
BFC,,Australia,Queensland
BFE,EDLI,Germany,
BFH,SBBI,Brazil,
BFN,FABL,South Africa,
BFO,FVCZ,Zimbabwe,
BFQ,,Panama,
BFS,EGAA,United Kingdom,Isle of Man
BFU,ZSBB,China,Anhui
BFV,VTUO,Thailand,
BFX,FKKU,Cameroon,
BGA,SKBG,Colombia,
BGB,FOGB,Gabon,
BGC,LPBG,Portugal,
BGF,FEFF,Central African Republic,
BGG,,Turkey,
BGH,GQNE,Mauritania,
BGI,TBPB,Barbados,
BGJ,BIBF,Iceland,
BGK,,Belize,
BGL,VNBL,Nepal,
BGO,ENBR,Norway,
BGP,,Gabon,
BGU,FEFG,Central African Republic,
BGV,,Brazil,
BGW,ORBI,Iraq,
BGX,SBBG,Brazil,
BGY,LIME,Italy,
BGZ,LPBR,Portugal,
BHA,SEBC,Ecuador,
BHC,,Pakistan,
BHD,EGAC,United Kingdom,Isle of Man
BHE,NZWB,New Zealand,
BHF,,Colombia,
BHG,MHBL,Honduras,
BHH,OEBH,Saudi Arabia,
BHI,SAZB,Argentina,
BHJ,VABJ,India,
BHK,UTSB,Uzbekistan,
BHL,,Mexico,
BHN,OYBN,Yemen,
BHO,VABP,India,
BHP,VNBJ,Nepal,
BHQ,YBHI,Australia,South Australia
BHR,VNBP,Nepal,
BHS,YBTH,Australia,New South Wales
BHT,,Australia,Queensland
BHU,VABV,India,
BHV,OPBW,Pakistan,
BHW,,Pakistan,
BHX,EGBB,United Kingdom,Isle of Man
BHY,ZGBH,China,Guangxi
BIA,LFKB,France,
BIB,HCMB,Somalia,
BIK,WABB,Indonesia,
BIM,MYBS,Bahamas,
BIN,OABN,Afghanistan,
BIO,LEBB,Spain,
BIP,,Australia,Northern Territory
BIQ,LFBZ,France,
BIR,VNVT,Nepal,
BIT,VNBT,Nepal,
BIU,BIBD,Iceland,
BIV,KBIV,Central African Republic,
BIW,,Australia,Northern Territory
BIY,FABE,South Africa,
BJB,OIMN,Iran,
