codeIataAirport,County,Province/State,Country/Region,LatAirport,LongAirport
APB,,,Bolivia,-14.716667,-68.51667
APC,Solano,California,US,38.212223,-122.28
APE,,,Peru,-11.933333,-69.083336
APF,Collier,Florida,US,26.152779,-81.775276
APG,Harford,Maryland,US,39.5,-76.166664
APH,Caroline,Virginia,US,38.05,-77.35
API,,,Colombia,4.068889,-73.05194
APK,,French Polynesia,France,-15.416667,-146.08333
APL,,,Mozambique,-15.101667,39.287224
APN,Alpena,Michigan,US,45.08167,-83.55583
APO,,,Colombia,7.817678,-76.71766
APP,,,Papua New Guinea,-8.983333,148.13333
APQ,,,Brazil,-9.75,-36.65
APR,,,Papua New Guinea,-8.5,145.0
APS,,,Brazil,-16.333332,-48.966667
APT,Marion,Tennessee,US,35.066666,-85.5
APU,,,Brazil,-23.55,-51.483334
APV,Los Angeles,California,US,34.52639,-117.212776
APX,,,Brazil,-23.483334,-51.466667
APY,,,Brazil,-9.133333,-45.933334
APZ,,,Argentina,-38.916668,-70.083336
AQA,,,Brazil,-21.816668,-48.13333
AQB,,,Guatemala,15.01,-91.15
AQG,,Anhui,China,30.5825,117.0509
AQI,,,Saudi Arabia,28.334408,46.121315
AQJ,,,Jordan,29.610073,35.02151
AQM,,,Brazil,-9.933333,-63.066666
AQP,,,Peru,-16.344812,-71.56799
AQY,Anchorage,Alaska,US,60.966667,-149.11667
ARA,Iberia,Louisiana,US,30.037779,-91.88389
ARB,Washtenaw,Michigan,US,42.3,-83.75
ARC,North Slope,Alaska,US,68.1375,-145.52444
ARD,,,Indonesia,-8.683333,124.53333
ARE,,Puerto Rico,US,18.45,-66.675835
ARF,,,Colombia,0.533333,-70.13333
ARG,Lawrence,Arkansas,US,36.066666,-90.95
ARH,,,Russia,64.594795,40.711903
ARI,,,Chile,-18.349766,-70.335556
ARJ,,,Indonesia,-2.933333,140.78334
ARK,,,Tanzania,-3.366667,36.683334
ARL,,,Burkina Faso,11.6,1.483333
ARM,,Queensland,Australia,-30.532297,151.61493
ARN,,,Sweden,59.64982,17.930365
ARO,,,Colombia,8.85,-76.433334
ARP,,,Papua New Guinea,-9.8,149.5
ARQ,,,Colombia,7.033056,-71.43166
ARR,,,Argentina,-45.033333,-70.833336
ARS,,,Brazil,-15.9,-52.233334
ART,Jefferson,New York,US,43.990833,-76.021385
ARU,,,Brazil,-21.143612,-50.42611
ARV,Vilas,Wisconsin,US,45.924168,-89.73222
ARW,,,Romania,46.183334,21.266666
ARY,,Victoria,Australia,-37.316666,143.0
ARZ,,,Angola,-7.5,13.5
ASA,,,Eritrea,13.07,42.638332
ASC,,,Bolivia,-15.916667,-63.15
ASD,,,Bahamas,24.697779,-77.79611
ASE,Pitkin,Colorado,US,39.219685,-106.864685
ASF,,,Russia,46.2877,47.999977
ASG,,,New Zealand,-43.9,171.78334
ASH,Hillsborough,New Hampshire,US,42.77889,-71.509445
ASJ,,,Japan,28.431522,129.70793
ASK,,,Cote d'Ivoire,6.816667,-5.283333
ASL,Harrison,Texas,US,32.55,-94.38333
ASM,,,Eritrea,15.291111,38.91028
ASN,Talladega,Alabama,US,33.433334,-86.1
ASO,,,Ethiopia,10.047222,34.536667
ASP,,Northern Territory,Australia,-23.80139,133.90338
ASQ,Lander,Nevada,US,39.466667,-117.166664
ASR,,,Turkey,38.7742,35.490707
AST,Clatsop,Oregon,US,46.15972,-123.88
ASU,,,Paraguay,-25.241795,-57.513794
ASV,,,Kenya,-2.633333,37.25
ASW,,,Egypt,23.968021,32.824818
ASX,Bayfield,Wisconsin,US,46.55,-90.916664
ASY,McIntosh,North Dakota,US,46.033333,-99.36667
ASZ,,,Papua New Guinea,-5.866667,150.36667
ATA,,,Peru,-9.347222,-77.6
ATB,,,Sudan,17.716667,34.016666
ATC,,,Bahamas,24.62861,-75.67139
ATE,Choctaw,Oklahoma,US,34.233334,-95.61667
ATF,,,Ecuador,-1.083333,-78.7
ATG,,,Pakistan,33.9,72.25
ATH,,,Greece,37.93635,23.946486
ATI,,,Uruguay,-30.4,-56.50833
ATJ,,,Madagascar,-19.85,47.016666
ATK,North Slope,Alaska,US,70.5,-157.33333
ATL,Clayton,Georgia,US,33.640068,-84.44403
ATM,,,Brazil,-3.2,-52.216667
ATN,,,Papua New Guinea,-3.666667,152.46666
ATO,Athens,Ohio,US,39.333332,-82.1
ATP,,,Papua New Guinea,-3.166667,142.28334
ATQ,,,India,31.706741,74.8073
ATR,,,Mauritania,20.499443,-13.046389
ATS,Eddy,New Mexico,US,32.84833,-104.46694
ATT,Bethel,Alaska,US,60.866943,-162.2675
ATV,,,Chad,13.242222,18.3075
ATW,Outagamie,Wisconsin,US,44.26011,-88.50994
ATX,,,Kazakhstan,51.88333,68.4
ATY,Codington,South Dakota,US,44.90889,-97.15417
ATZ,,,Egypt,27.033333,31.0
AUA,,Aruba,Netherlands,12.502222,-70.013885
AUB,,,Brazil,-5.766667,-63.35
AUC,,,Colombia,7.071667,-70.7425
AUD,,Northern Territory,Australia,-18.506945,139.88167
AUE,,,Egypt,28.9,33.183334
AUF,,,France,47.85,3.5
AUG,Kennebec,Maine,US,44.318054,-69.79667
AUH,,,United Arab Emirates,24.426912,54.645973
AUI,,,Papua New Guinea,-1.458333,143.075
AUJ,,,Papua New Guinea,-4.25,142.85
AUK,Kusilvak,Alaska,US,62.689167,-164.61084
AUM,Mower,Minnesota,US,43.666668,-92.98333
AUN,Placer,California,US,38.9,-121.066666
AUO,Lee,Alabama,US,32.63333,-85.5
AUP,,,Papua New Guinea,-9.983333,149.58333
AUQ,,French Polynesia,France,-9.769324,-139.00978
AUR,,,France,44.8975,2.418056
AUS,Travis,Texas,US,30.202545,-97.66706
AUT,,,Indonesia,-8.216667,125.583336
AUU,,Northern Territory,Australia,-13.166667,142.25
AUV,,,Papua New Guinea,-5.716667,148.43333
AUW,Marathon,Wisconsin,US,44.923332,-89.623055
AUX,,,Brazil,-7.2,-48.2
AUZ,Kendall,Illinois,US,41.75,-88.316666
AVA,,Guizhou,China,26.257221,105.87278
AVB,,,Italy,46.033333,12.6
AVG,,Northern Territory,Australia,-15.65,130.01666
AVI,,,Cuba,22.025,-78.79139
AVK,,,Mongolia,46.266666,102.78333
AVL,Henderson,North Carolina,US,35.43508,-82.537315
AVN,,,France,43.9,4.9
